"","Feature","Gain","Cover","Frequence","RealCover","RealCover %"
"101","num_var35",0.00442499470128625,0.00451911005057424,0.00351428144160311,6871,2.2842420212766
"8","imp_op_var39_efect_ult1",0.00397487037554448,0.00528016828175484,0.00613129953641394,8448,2.80851063829787
"79","num_op_var41_hace2",0.00396609230469633,0.0033682449850985,0.00807537012113055,10245,3.40591755319149
"97","num_var30",0.00389140163017328,0.00424569453139493,0.00082249140122626,5646,1.87699468085106
"132","saldo_medio_var8_ult3",0.00382681946070284,0.00606564651990962,0.0053835800807537,5554,1.84640957446809
"82","num_op_var41_ult3",0.00372667536801335,0.00340873997617852,0.0069537909376402,19643,6.53025265957447
"14","imp_op_var41_comer_ult1",0.00370372842456291,0.00457270752630683,0.00717810677433827,17343,5.765625
"131","saldo_medio_var8_ult1",0.00362762323016847,0.00707120587391608,0.00598175564528189,6173,2.05219414893617
"60","num_meses_var5_ult3",0.00343970569812733,0.0031191372402964,0.00508449229848961,5765,1.91655585106383
"9","imp_op_var39_efect_ult3",0.00337608685614455,0.00223537116055144,0.00441154478839539,8418,2.79853723404255
"54","num_med_var22_ult3",0.00332439853317151,0.00333907956355683,0.00583221175414984,6548,2.17686170212766
"129","saldo_medio_var8_hace2",0.00300470009237086,0.00366478621579882,0.00530880813518768,3500,1.16356382978723
"78","num_op_var41_efect_ult3",0.00294582998395234,0.00280912418551689,0.00545835202631972,8901,2.95910904255319
"62","num_op_var39_comer_ult1",0.00272745235568971,0.00138264073274051,0.00478540451622551,11040,3.67021276595745
"63","num_op_var39_comer_ult3",0.00234680652659405,0.000914794618964351,0.00433677284282937,13092,4.35239361702128
"109","num_var43_recib_ult1",0.00228967497658627,0.00477219805561048,0.00486017646179154,3856,1.28191489361702
"81","num_op_var41_ult1",0.00226998149595342,0.0013437241512994,0.0041124570061313,11360,3.77659574468085
"77","num_op_var41_efect_ult1",0.00226755847752954,0.00399925119574673,0.00463586062509347,5438,1.80784574468085
"66","num_op_var39_hace2",0.00223012143722715,0.00233871638339289,0.00358905338716913,5934,1.97273936170213
"47","ind_var8_0",0.00210220903215238,0.00503755309431246,0.00328996560490504,211,0.0701462765957447
"141","saldo_var26",0.00207150440815983,0.00264013053015551,0.00403768506056528,2028,0.674202127659574
"153","var36",0.00202786159806582,0.00130942076703889,0.0041124570061313,13123,4.36269946808511
"76","num_op_var41_comer_ult3",0.00201069213410735,0.0011544944520714,0.00366382533273516,10933,3.63464095744681
"68","num_op_var39_ult1",0.001777921576558,0.00162102540665685,0.0028413339315089,7122,2.36768617021277
"69","num_op_var39_ult3",0.00177344542417723,0.000827109467367736,0.00321519365933902,11694,3.8876329787234
"75","num_op_var41_comer_ult1",0.00174125569935931,0.00104579352301281,0.00328996560490504,8101,2.69315159574468
"120","saldo_medio_var12_ult3",0.0016979367935778,0.00470199746093456,0.00276656198594287,289,0.0960771276595745
"106","num_var41_0",0.00168331647654357,0.00186044113571986,0.00216838642141469,9217,3.06416223404255
"140","saldo_var25",0.00163641226709637,0.00248365372791222,0.00328996560490504,1628,0.541223404255319
"103","num_var37_med_ult2",0.00162417581152992,0.00204989553565467,0.00321519365933902,1872,0.622340425531915
"117","saldo_medio_var12_hace2",0.00139064006397186,0.00439175641615578,0.00291610587707492,392,0.13031914893617
"65","num_op_var39_efect_ult3",0.0012160211581486,0.00112495377510949,0.00179452669358457,5125,1.70378989361702
"53","num_ent_var16_ult1",0.00120947583170192,0.00295204564675371,0.00306564976820697,1826,0.607047872340426
"130","saldo_medio_var8_hace3",0.00117637354324678,0.00243469929188583,0.00216838642141469,669,0.222406914893617
"119","saldo_medio_var12_ult1",0.0011700623158903,0.00237998356376781,0.00224315836698071,333,0.110704787234043
"104","num_var39_0",0.0011124368185173,0.00176636953377166,0.00224315836698071,6940,2.30718085106383
"102","num_var37_0",0.00111113537731326,0.000779372886522471,0.00194407058471661,1692,0.5625
"151","var21",0.000906389940185959,0.00117584052790944,0.0015702108568865,136,0.0452127659574468
"27","ind_var13",0.000857921749265592,0.000627378278823578,0.000373859727830118,24,0.00797872340425532
"116","num_var8_0",0.000799086614399558,0.00187064027832132,0.00194407058471661,209,0.0694813829787234
"61","num_meses_var8_ult3",0.000794166976493589,0.000857991856753516,0.0015702108568865,764,0.253989361702128
"108","num_var43_emit_ult1",0.000760439474267192,0.00104239763899563,0.00149543891132047,1247,0.414561170212766
"3","imp_aport_var13_ult1",0.000702942156082595,0.00195809938374514,0.00142066696575445,7,0.00232712765957447
"114","num_var5_0",0.000690757392768985,0.00102499715566906,0.0015702108568865,10339,3.43716755319149
"64","num_op_var39_efect_ult1",0.000687166667084108,0.000738994410091949,0.00186929863915059,4330,1.43949468085106
"121","saldo_medio_var13_corto_hace2",0.000678167368755334,0.00184130127476527,0.00194407058471661,38,0.0126329787234043
"19","imp_sal_var16_ult1",0.000550401121810339,0.00575917653230779,0.00142066696575445,49,0.0162898936170213
"135","saldo_var13",0.000546616632950549,0.00170294840637076,0.00104680723792433,25,0.00831117021276596
"36","ind_var30_0",0.000524482632203487,0.000674612248118181,0.000523403618962165,2923,0.971742021276596
"22","imp_var7_recib_ult1",0.000522461175784118,0.00523934256634722,0.00119635112905638,41,0.0136303191489362
"40","ind_var39_0",0.000512553496476036,0.000238096116537657,0.0012711230746224,2387,0.793550531914894
"124","saldo_medio_var13_corto_ult3",0.000486348656247582,0.00081244621625956,0.00149543891132047,46,0.0152925531914894
"139","saldo_var24",0.000459849314844678,0.00102246053873881,0.00119635112905638,75,0.0249335106382979
"34","ind_var26_cte",0.000452438530929439,0.000405382292181854,0.000373859727830118,136,0.0452127659574468
"87","num_var13",0.000417076913698721,0.000948854274428809,0.000448631673396142,85,0.0282579787234043
"26","ind_var12_0",0.000409891377358381,0.000413522432358621,0.000523403618962165,60,0.0199468085106383
"118","saldo_medio_var12_hace3",0.000389883522519663,0.000703223131461049,0.000897263346792284,63,0.0209441489361702
